Contract;GazPoint;P/F;01.04;02.04;03.04;04.04;05.04;06.04;07.04;08.04;09.04;10.04;11.04;12.04;13.04;14.04;15.04;16.04;17.04;18.04;19.04;20.04;21.04;22.04;23.04;24.04;25.04;26.04;27.04;28.04;29.04;30.04
1;1;P;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
1;1;F;25,057;3,845;4,513;3,472;3,188;1,422;;3,949;5,696;5,313;6,372;8,12;1,609;;5,044;7,167;6,236;6,114;7,29;1,566;;3,999;5,923;6,113;6,264;7,687;6,258;1,138;;
1;2;P;21,667;21,667;21,667;21,667;21,667;21,667;21,667;21,667;21,667;21,667;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666;21,667;21,666
1;2;F;14,168;35,227;35,226;32,119;28,845;23,834;23,834;23,834;21,89;22,121;22,323;21,845;21,992;23,244;23,022;22,602;23,199;22,752;22,65;22,526;21,711;21,749;22,007;22,035;21,809;22,919;21,828;21,237;20,93;20,293
2;1;P;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666
2;1;F;1,834;1,834;1,834;1,834;1,834;;;;;;;;;;;;;;;;;;;;;;;;;
2;2;P;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666;1,667;1,666
2;2;F;1,834;1,834;1,834;1,834;1,834;4,347;3,476;6,467;1,685;1,703;1,718;1,68;1,693;;;;;;;;1,671;1,673;1,694;1,695;1,679;;;;;
