Contract;GazPoint;P/F;01.04;02.04;03.04;04.04;05.04;06.04;07.04;08.04;09.04;10.04;11.04;12.04;13.04;14.04;15.04;16.04;17.04;18.04;19.04;20.04;21.04;22.04;23.04;24.04;25.04;26.04;27.04;28.04;29.04;30.04
1;1;P;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023
1;1;F;0,026;0,025;0,026;0,025;0,026;0,025;0,069;0,025;0,026;0,074;0,026;0,063;0,058;0,07;0,079;0,084;0,026;0,09;0,077;0,069;0,071;0,025;0,025;0,025;0,074;0,025;0,025;0,058;0,095;0,094
1;2;P;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,034;0,033;0,033;0,033;0,033;0,033;0,033;0,033;0,033;0,033;0,033;0,033
1;2;F;0,018;0,016;0,016;0,015;0,017;0,017;;0,021;0,016;;0,016;;;;;;0,019;;;;;0,02;0,019;0,015;;0,017;0,02;;;
2;1;P;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041;0,042;0,041
2;1;F;0,061;0,051;0,019;0,006;0,056;0,074;0,046;0,05;0,056;0,046;0,077;0,045;0,046;0,045;0,046;0,045;0,075;0,045;0,046;0,045;0,046;0,063;0,059;0,072;0,046;0,07;0,071;0,045;0,046;0,045
2;2;P;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,024;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023;0,023
2;2;F;;;;;;;0,019;;;0,014;;0,018;0,021;0,023;0,022;0,02;;0,017;0,019;0,019;0,018;;;;0,018;;;0,024;0,02;0,02
